estuary,Year,Month,displacement,count
Camden_Haven_River,1990,1,6642.35568794649,741
Camden_Haven_River,1990,2,3352.15283329982,672
Camden_Haven_River,1990,3,2369.40451509825,744
Camden_Haven_River,1990,4,-505.196682459418,720
Camden_Haven_River,1990,5,-3417.77799944818,744
Camden_Haven_River,1990,6,-7625.63221491361,720
Camden_Haven_River,1990,7,-5656.15492088579,744
Camden_Haven_River,1990,8,-10486.684539437,744
Camden_Haven_River,1990,9,-1876.86256914835,720
Camden_Haven_River,1990,10,-2124.23609837187,744
Camden_Haven_River,1990,11,2228.11821625615,720
Camden_Haven_River,1990,12,7241.93627645191,744
Camden_Haven_River,1991,1,8385.94418519036,744
Camden_Haven_River,1991,2,3871.65888213672,672
Camden_Haven_River,1991,3,3791.40296957882,744
Camden_Haven_River,1991,4,-3687.25038335073,720
Camden_Haven_River,1991,5,-6903.60901617792,744
Camden_Haven_River,1991,6,-2570.40386029122,720
Camden_Haven_River,1991,7,-8141.73990856012,744
Camden_Haven_River,1991,8,-5538.27527071452,744
Camden_Haven_River,1991,9,-1123.49686233657,720
Camden_Haven_River,1991,10,3687.04037263672,744
Camden_Haven_River,1991,11,3916.23206519559,720
Camden_Haven_River,1991,12,4471.7104037584,744
Camden_Haven_River,1992,1,4247.58442417995,744
Camden_Haven_River,1992,2,515.958140562288,696
Camden_Haven_River,1992,3,741.064170139467,744
Camden_Haven_River,1992,4,-2006.89102092718,720
Camden_Haven_River,1992,5,-7377.52046621052,744
Camden_Haven_River,1992,6,-8783.53265058203,720
Camden_Haven_River,1992,7,-6295.77755219623,744
Camden_Haven_River,1992,8,-5190.44661662173,744
Camden_Haven_River,1992,9,-4663.16380740535,720
Camden_Haven_River,1992,10,93.9479747153986,744
Camden_Haven_River,1992,11,-1585.9022708257,720
Camden_Haven_River,1992,12,3014.94881214775,744
Camden_Haven_River,1993,1,6525.76155790342,744
Camden_Haven_River,1993,2,7513.90333307849,672
Camden_Haven_River,1993,3,-1806.09850446771,744
Camden_Haven_River,1993,4,-1033.90183696616,720
Camden_Haven_River,1993,5,-6099.56708767886,744
Camden_Haven_River,1993,6,-8879.09388941871,720
Camden_Haven_River,1993,7,-3735.57830341771,744
Camden_Haven_River,1993,8,-4098.40363167929,744
Camden_Haven_River,1993,9,-1231.27054239112,720
Camden_Haven_River,1993,10,1031.14942382039,744
Camden_Haven_River,1993,11,2289.63862753972,720
Camden_Haven_River,1993,12,6964.89077892284,744
Camden_Haven_River,1994,1,7534.02299587698,744
Camden_Haven_River,1994,2,6711.87559824563,672
Camden_Haven_River,1994,3,-825.50120509452,744
Camden_Haven_River,1994,4,25.3158369800395,720
Camden_Haven_River,1994,5,-3564.24138058874,744
Camden_Haven_River,1994,6,-7878.580574,720
Camden_Haven_River,1994,7,-8086.09979726889,744
Camden_Haven_River,1994,8,-5495.73537320495,744
Camden_Haven_River,1994,9,-2778.68675888379,720
Camden_Haven_River,1994,10,2667.76610009957,744
Camden_Haven_River,1994,11,7126.89177091981,720
Camden_Haven_River,1994,12,2909.41842835652,744
Camden_Haven_River,1995,1,2661.7553389061,744
Camden_Haven_River,1995,2,2360.7654379991,672
Camden_Haven_River,1995,3,-5179.55787929824,744
Camden_Haven_River,1995,4,-3732.67951916824,720
Camden_Haven_River,1995,5,-4501.46510355734,744
Camden_Haven_River,1995,6,-9087.13813947262,720
Camden_Haven_River,1995,7,-7554.70268724617,744
Camden_Haven_River,1995,8,-1525.5782842159,744
Camden_Haven_River,1995,9,-3713.88674224464,720
Camden_Haven_River,1995,10,547.965682566095,744
Camden_Haven_River,1995,11,4572.3596294391,720
Camden_Haven_River,1995,12,1667.96873029682,744
Camden_Haven_River,1996,1,240.124977609576,744
Camden_Haven_River,1996,2,-2571.99485054889,696
Camden_Haven_River,1996,3,-444.926789518378,744
Camden_Haven_River,1996,4,-2660.27571796647,720
Camden_Haven_River,1996,5,-871.280358768706,744
Camden_Haven_River,1996,6,-6424.53639374944,720
Camden_Haven_River,1996,7,-6457.70854062186,744
Camden_Haven_River,1996,8,-3935.78851744287,744
Camden_Haven_River,1996,9,-172.358338574391,720
Camden_Haven_River,1996,10,2203.18739891847,744
Camden_Haven_River,1996,11,89.7668523182387,720
Camden_Haven_River,1996,12,3934.11161371128,744
Camden_Haven_River,1997,1,4084.65111189199,744
Camden_Haven_River,1997,2,1017.3364464033,672
Camden_Haven_River,1997,3,2444.92564064932,744
Camden_Haven_River,1997,4,-1406.85859118859,720
Camden_Haven_River,1997,5,-9742.30792758102,744
Camden_Haven_River,1997,6,-11473.1239550363,720
Camden_Haven_River,1997,7,-10762.0244954098,744
Camden_Haven_River,1997,8,-2969.27148185005,744
Camden_Haven_River,1997,9,-4953.35724842379,720
Camden_Haven_River,1997,10,2116.31614886919,744
Camden_Haven_River,1997,11,5044.84555220083,720
Camden_Haven_River,1997,12,6710.32597373466,744
Camden_Haven_River,1998,1,9298.04617199035,744
Camden_Haven_River,1998,2,2857.4725964436,672
Camden_Haven_River,1998,3,-367.7033043916,744
Camden_Haven_River,1998,4,-707.548369371401,720
Camden_Haven_River,1998,5,-10107.0965378206,744
Camden_Haven_River,1998,6,-11851.8846417187,720
Camden_Haven_River,1998,7,-7767.07124882044,744
Camden_Haven_River,1998,8,-3514.68203406233,744
Camden_Haven_River,1998,9,3230.05705894573,720
Camden_Haven_River,1998,10,-172.762450099845,744
Camden_Haven_River,1998,11,-1758.29242920526,720
Camden_Haven_River,1998,12,4945.64412765461,744
Camden_Haven_River,1999,1,4804.67602686404,744
Camden_Haven_River,1999,2,84.9843356036762,672
Camden_Haven_River,1999,3,235.47292209615,744
Camden_Haven_River,1999,4,-10358.2120761301,720
Camden_Haven_River,1999,5,-3003.5509579418,744
Camden_Haven_River,1999,6,-7263.28736570984,720
Camden_Haven_River,1999,7,-10392.6729251113,744
Camden_Haven_River,1999,8,-3272.17057106625,744
Camden_Haven_River,1999,9,2537.20625757468,720
Camden_Haven_River,1999,10,3089.14941578495,744
Camden_Haven_River,1999,11,-1666.93140464882,720
Camden_Haven_River,1999,12,3242.66406574751,744
Camden_Haven_River,2000,1,-1403.19294963492,744
Camden_Haven_River,2000,2,10282.88186941,696
Camden_Haven_River,2000,3,4417.82674571164,744
Camden_Haven_River,2000,4,-2310.73197637592,720
Camden_Haven_River,2000,5,-5552.36826241696,744
Camden_Haven_River,2000,6,-9759.99973924631,720
Camden_Haven_River,2000,7,-9542.09134959483,744
Camden_Haven_River,2000,8,-5430.02747556319,744
Camden_Haven_River,2000,9,697.35966776128,720
Camden_Haven_River,2000,10,5007.06271556169,744
Camden_Haven_River,2000,11,7563.82860736416,720
Camden_Haven_River,2000,12,4306.8583572197,744
Camden_Haven_River,2001,1,7421.09450738758,744
Camden_Haven_River,2001,2,5931.36123367698,672
Camden_Haven_River,2001,3,386.855645113428,744
Camden_Haven_River,2001,4,-1858.79528378225,720
Camden_Haven_River,2001,5,-13493.7420399067,744
Camden_Haven_River,2001,6,-6221.47830716306,720
Camden_Haven_River,2001,7,-9494.79757319534,744
Camden_Haven_River,2001,8,-5968.56813184285,744
Camden_Haven_River,2001,9,1448.4534404851,720
Camden_Haven_River,2001,10,1230.67869401527,744
Camden_Haven_River,2001,11,-276.870488600717,720
Camden_Haven_River,2001,12,2864.18339335045,744
Camden_Haven_River,2002,1,2972.6221073327,744
Camden_Haven_River,2002,2,3835.09792601546,672
Camden_Haven_River,2002,3,-499.010912337599,744
Camden_Haven_River,2002,4,-2117.10528003699,720
Camden_Haven_River,2002,5,-9889.03859508487,744
Camden_Haven_River,2002,6,-8158.21302168803,720
Camden_Haven_River,2002,7,-8405.93975074875,744
Camden_Haven_River,2002,8,-4601.02927388231,744
Camden_Haven_River,2002,9,-101.78519272468,720
Camden_Haven_River,2002,10,6438.33027928345,744
Camden_Haven_River,2002,11,6689.85629307948,720
Camden_Haven_River,2002,12,3763.04515922612,744
Camden_Haven_River,2003,1,1154.21888421217,744
Camden_Haven_River,2003,2,8186.9781255467,672
Camden_Haven_River,2003,3,-803.440534181673,744
Camden_Haven_River,2003,4,-8237.16114025412,720
